venue_slug,position,question,answer
dearborn-park,4,What should I bring?,"A net, on the balance of what the city records: Seattle Parks does not state whether nets are provided here, and it does positively record that there is no nearby restroom. Four courts and no facilities recorded makes this a venue where turning up self-sufficient is the safer assumption, though we have not been to check."
discovery-park,1,Are nets provided?,"The city does not say. Seattle Parks records nets at seventeen of twenty-five locations and is silent about eight, including this one, so the page shows nets as unverified rather than guessing in either direction."
discovery-park,2,Is parking easy?,"We do not know and will not guess. The city records a dedicated lot, but Discovery Park is the largest park in Seattle and that lot serves all of it. No capacity or restriction data is published."
discovery-park,3,Why did the venue name change?,"The imported name carried an encoding artefact, a character that did not survive a file conversion. We use the name from the city record instead."
discovery-park,4,Is it worth the trip for four courts?,"We cannot answer that, and any directory that does is guessing. What the record supports is this: four shared courts, no lights, an all-year restroom and a dedicated lot, inside the largest park in the city. Four courts is the median size in the verified Seattle set, so this is a typical site in an atypical setting."
georgetown-playfield,1,Are nets provided?,"The city does not say. Seattle Parks records nets at seventeen of its twenty-five pickleball locations and is silent about eight, and Georgetown is one of the eight. Silence is not a no, so the page says unverified."
georgetown-playfield,2,Why is the name different from other listings?,The imported name carried an encoding artefact from a broken file conversion. We use the name Seattle Parks uses for the site instead.
georgetown-playfield,3,Is there lighting?,"No. The city positively records no lighting here, so play is bounded by daylight."
georgetown-playfield,4,Should I expect to share the courts?,"Almost certainly. This is a tennis and pickleball surface, which describes eighteen of the twenty-five Seattle locations the city records, so shared use is the norm here rather than the exception. What we cannot tell you is how often it is actually contested, because Seattle Parks publishes no booking or usage data for any of its courts and we have not observed this one."
soundview-playfield,1,Are nets provided?,"Unknown. Seattle Parks does not record nets at this location, and we treat an absent record as unknown rather than as a no. A portable net is cheap insurance for the eight Seattle sites in this category."
soundview-playfield,2,Where exactly is it?,"1590 NW 90th St, in Crown Hill. The imported record put the neighbourhood inside the venue name; we keep it out, because the URL and the page already say which city and county you are in."
soundview-playfield,3,Is there an all-year restroom?,"No, the city records this one as seasonal."
soundview-playfield,4,What else is verified in north-west Seattle?,Gilman Playground in Ballard has four courts and carries a city-imposed 10 p.m. curfew after noise studies; Bitter Lake Playfield further north has eight courts under lights. Soundview sits between them in size with four unlit courts and no posted-hours order recorded against it.
walt-hundley-playfield-pickleball-courts-seattle,1,Is this High Point Community Center?,"No, though they share an address. The community centre is an indoor building with its own courts; this is the outdoor playfield with four. We deliberately did not merge them, because a shared address is exactly the circumstance in which an automated match produces a venue that does not exist."
walt-hundley-playfield-pickleball-courts-seattle,2,Why is this venue not on other directories?,"We can only speak for the commercial dataset we imported, which had no row for it. Seattle Parks records it, and this page exists because we read the city's data rather than trusting the import to be complete."
walt-hundley-playfield-pickleball-courts-seattle,3,Are there lights?,"No, the city records none here."
walt-hundley-playfield-pickleball-courts-seattle,4,Are there lights?,"No. Seattle Parks records no lighting here, so play is bounded by daylight, and the nearest lit courts in West Seattle are at Alki Playground."
lakeridge-park,1,Is this really a badminton court?,"It is recorded by Seattle Parks as shared badminton and pickleball use, and it is the only site in the city recorded that way. Expect markings for both."
lakeridge-park,2,Why did the postcode look wrong?,"Because it was. The imported record had 10145 in the postal code field, which is the street number from the address rather than a postcode. We do not publish it, and the episode is the reason our geography check now lets coordinates decide rather than postcodes."
lakeridge-park,3,How many courts?,"Two, per the city record, with nets provided."
lakeridge-park,4,What else is nearby in south Seattle?,"Rainier Beach Playfield is the substantial option, with eight lit courts, dedicated parking and an all-year restroom. Brighton Playfield has four unlit courts. Against those, Lakeridge is small and unusual rather than convenient, and its distinguishing feature is the badminton sharing rather than anything about capacity."
observatory-courts,1,How many courts are there?,"Two. Our imported record said four. On a site this size that is a doubling, and it is the kind of error that is invisible until someone checks it against the operator's own record."
observatory-courts,2,Is there a restroom?,"No. The city records none at this site, one of only three Seattle pickleball locations recorded that way."
observatory-courts,3,Are nets provided?,"Unknown. Seattle Parks does not record nets here, and we do not treat an absent record as a no."
observatory-courts,4,What is the other Queen Anne option?,"Kinnear Park, which has one shared court and a seasonal restroom. Between the two sites Queen Anne has three shared courts and no lighting recorded at either, and Observatory is the one without a restroom. Neither is a large venue, and the imported data overstated both of them."
maple-leaf-reservoir-park-pickleball-courts-seattle,1,Are these dedicated pickleball courts?,"Yes. Seattle Parks records the use type here as pickleball rather than shared, which applies to only four of the twenty-five locations in the city dataset, and this is the largest of the four."
maple-leaf-reservoir-park-pickleball-courts-seattle,2,Why is this venue missing from other directories?,"We can only speak for the commercial dataset we imported, which had no row for it. Seattle Parks does record it, and it is here because we read the city's data rather than assuming the import was complete."
maple-leaf-reservoir-park-pickleball-courts-seattle,3,Is there a restroom?,"Yes, and the city records it as all-year rather than seasonal."
maple-leaf-reservoir-park-pickleball-courts-seattle,4,How does it compare with the other dedicated courts?,"There are four dedicated pickleball sites in the city and this is the only one with two courts; South Park Playground and Laurelhurst Playfield have one each, and the fourth is an SDOT street-end court we have not published for want of a sourced address. So on the city's record this is the largest dedicated pickleball venue in Seattle, which says more about the city's provision than about the site."
kinnear-park,1,How many courts are there?,"One. The imported record said three. Proportionally that is the worst court-count error in the Seattle data, and on a single-court site it changes whether a trip is worth making."
kinnear-park,2,Is the address right?,"It is now. The city's own record misspells the street as Olumpic Place; we publish the corrected spelling and keep the original in the evidence attached to the address, rather than either republishing a typo or fixing it silently."
kinnear-park,3,Are nets provided?,"Unknown. Seattle Parks does not record nets here, and an absent record is not a no."
kinnear-park,4,Is one court worth the trip?,"That depends entirely on where you are starting from and who else turns up, and we have no data on the second. What we can say is that Observatory Courts is the other Queen Anne site, with two shared courts and no restroom recorded, so the immediate area offers three shared courts in total across two venues. Neither is lit."
montlake-playfield,1,Is this a proper pickleball court?,It is a shared-use court recorded by Seattle Parks as basketball and pickleball. Only two Seattle venues are recorded that way. Expect basketball markings and pickleball lines on the same surface.
montlake-playfield,2,Are nets provided?,"Unknown. The city does not record nets here, and on a basketball-shared surface that is a question worth resolving before you travel. We will not guess at it."
montlake-playfield,3,Is there parking?,"The city records dedicated parking, though it serves the whole playfield rather than the court specifically. No capacity or restriction data is published."
montlake-playfield,4,Is there a better option nearby?,"Miller Playfield is the closest substantial venue, with five courts under lights on Capitol Hill, and it is a tennis-shared surface rather than a basketball-shared one. For anyone deciding between them on the record alone, Miller offers more courts, lights and a confirmed net; Montlake offers one court whose net provision the city does not state."
south-park-playground,1,Which address is correct?,"738 S Sullivan St, from the city's parcel record. Our imported record had 8319 8th Ave S, which is a different street. Where a city describes land it owns and a commercial dataset disagrees, the city wins."
south-park-playground,2,Is this a dedicated pickleball court?,Yes. Seattle Parks records the use type as pickleball rather than shared. Only four of the twenty-five locations in the city dataset are recorded that way.
south-park-playground,3,Are nets provided?,"Yes, the city records nets at this location."
south-park-playground,4,Why does the address correction matter so much here?,"Because a single-court venue is hard enough to find without being sent to the wrong street. Our imported record placed this site at 8319 8th Ave S; Seattle Parks places its own parcel at 738 S Sullivan St. On an eight-court playfield an address error is an inconvenience. On one dedicated court it is the difference between a session and a wasted trip, and it is the kind of error that never surfaces in a spreadsheet because both values look equally plausible until someone checks one of them against the operator's own record."
greenwood-park-pickleball-courts-seattle,1,Is it Greenwood or Greenwod?,"Greenwood. The city's pickleball dataset spells it Greenwod, dropping a letter; the Parks property record for the same parcel spells it correctly. We publish the correct spelling and record that we corrected it."
greenwood-park-pickleball-courts-seattle,2,Why is this venue not on other directories?,"We can only speak for the commercial dataset we imported, which had no row for it. It is here because the city records it."
greenwood-park-pickleball-courts-seattle,3,Are nets provided?,"Unknown. Seattle Parks does not record nets at this location, and we do not read an absent record as a no."
greenwood-park-pickleball-courts-seattle,4,What else is nearby?,"Bitter Lake Playfield is the substantial northern option, with eight courts under lights, nets, dedicated parking and a seasonal restroom. Against that, Greenwood is a single basketball-shared court with no net recorded, and the honest comparison is that the two are not really in the same category."
